company_id,nse_symbol,fiscal_year,quarter,period_end,filing_date,source_url,match_confidence,attachment_format,extraction_status,extracted_char_count,xbrl_available,notes
RELIANCE,RELIANCE,FY2019,Q2,2018-09-30,17-Oct-2018 18:47:13,https://nsearchives.nseindia.com/corporate/FinancialResults_17102018184713.zip,text_confirmed,zip,extracted,46866,True,zip_contains_pdf(1_files)
RELIANCE,RELIANCE,FY2019,Q3,2018-12-31,17-Jan-2019 18:16:26,https://nsearchives.nseindia.com/corporate/FRQ3_17012019181626.zip,text_confirmed,zip,extracted,39445,True,zip_contains_pdf(1_files)
RELIANCE,RELIANCE,FY2019,Q4,2019-03-31,18-Apr-2019 18:15:31,https://nsearchives.nseindia.com/corporate/FinancialResultsF19_18042019181531.zip,text_confirmed,zip,extracted,98369,True,zip_contains_pdf(1_files)
RELIANCE,RELIANCE,FY2020,Q1,2019-06-30,19-Jul-2019 18:23:55,https://nsearchives.nseindia.com/corporate/UFRQ1F20_19072019182355.zip,text_confirmed,zip,extracted,50705,True,zip_contains_pdf(1_files)
RELIANCE,RELIANCE,FY2020,Q2,2019-09-30,18-Oct-2019 18:35:40,https://nsearchives.nseindia.com/corporate/FinancialResults_18102019183540.zip,text_confirmed,zip,extracted,71802,True,zip_contains_pdf(1_files)
RELIANCE,RELIANCE,FY2020,Q3,2019-12-31,17-Jan-2020 18:46:47,https://nsearchives.nseindia.com/corporate/FinancialResults_Dec_17012020184647.zip,text_confirmed,zip,extracted,57380,True,zip_contains_pdf(1_files)
RELIANCE,RELIANCE,FY2020,Q4,2020-03-31,30-Apr-2020 18:32:41,https://nsearchives.nseindia.com/corporate/CVR_30042020183241.zip,text_confirmed,zip,extracted,103835,True,zip_contains_pdf(1_files)
RELIANCE,RELIANCE,FY2021,Q1,2020-06-30,30-Jul-2020 19:18:06,https://nsearchives.nseindia.com/corporate/RILFinancialsQ1FY21_30072020191806.zip,text_confirmed,zip,extracted,63985,True,zip_contains_pdf(1_files)
RELIANCE,RELIANCE,FY2021,Q2,2020-09-30,30-Oct-2020 20:02:38,https://nsearchives.nseindia.com/corporate/UFS_30102020200238.zip,text_confirmed,zip,extracted,93195,True,zip_contains_pdf(1_files)
RELIANCE,RELIANCE,FY2021,Q3,2020-12-31,22-Jan-2021 19:50:19,https://nsearchives.nseindia.com/corporate/UFRQ3F21_22012021195019.zip,text_confirmed,zip,extracted,75308,True,zip_contains_pdf(1_files)
RELIANCE,RELIANCE,FY2021,Q4,2021-03-31,30-Apr-2021 19:34:56,https://nsearchives.nseindia.com/corporate/FSUpload_30042021193456.pdf,text_confirmed,pdf,extracted,109799,True,
